"Year","chemistry","MWh","chem_share_mwh"
"2015","NMC 811",2248.36373200872,0.203070110491261
"2015","LFP",880.2223,0.0795008552989676
"2015","LMO",1506.6878,0.136082633635299
"2015","NCA",4400.7266,0.397469512686645
"2015","NMC 111",813.527089293413,0.0734770062150277
"2015","NMC 532",692.58836200279,0.0625539334203789
"2015","NMC 622",529.743616695078,0.0478459482524212
"2016","NMC 811",4602.90634339691,0.232258128721654
"2016","LFP",3151.3608,0.15901456769477
"2016","LMO",2003.708,0.101105135726303
"2016","NCA",6704.239,0.33828930864007
"2016","NMC 111",853.460824717857,0.0430647941317706
"2016","NMC 532",1417.88417925483,0.0715450416865822
"2016","NMC 622",1084.5043526304,0.0547230233988504
"2017","NMC 811",10154.68685117,0.312105419041892
"2017","LFP",4482.5647,0.137772119867458
"2017","LMO",1959.4896,0.0602251287193329
"2017","NCA",9146.431,0.281116564383652
"2017","NMC 111",1272.27143223262,0.0391034026269594
"2017","NMC 532",3128.06056812689,0.0961412861580441
"2017","NMC 622",2392.57574847052,0.0735360792026614
"2018","NMC 811",26091.1694468447,0.389836525411164
"2018","LFP",4864.287,0.0726788711615998
"2018","LMO",317.9934,0.00475124131220857
"2018","NCA",19851.355,0.296605457784086
"2018","NMC 111",2070.76064009018,0.0309398984409485
"2018","NMC 532",7781.24346752366,0.116262052681758
"2018","NMC 622",5951.67964554149,0.0889259532082351
"2019","NMC 721",7.13,7.57016687608972e-05
"2019","NMCA 89:4:4:3",1.98,2.10223427975563e-05
"2019","NMC 811",40663.8370126377,0.431741980375569
"2019","LFP",2520.7742,0.0267639289634524
"2019","LMO",89.5867,0.000951172887627191
"2019","NCA",29421.347,0.312376586969624
"2019","NMC 111",1454.05501338424,0.0154382035039742
"2019","NMC 532",11347.4296169464,0.120479573373026
"2019","NMC 622",8679.36675703167,0.0921518299151689
"2020","NMC 721",3946.774,0.0314492039951509
"2020","NMCA 89:4:4:3",7330.12,0.0584088268517366
"2020","NMC 811",54236.9763334257,0.432178212583258
"2020","LFP",6541.94818,0.0521284124296264
"2020","LMO",49.5294,0.000394666683310833
"2020","NCA",27659.118,0.22039702407788
"2020","NMC 111",1336.43176973276,0.0106491315063711
"2020","NMC 532",13823.0105262706,0.110146331628769
"2020","NMC 622",10572.8770385709,0.0842481902438964
"2021","NMC 721",20486.549,0.0773249496164115
"2021","NMCA 89:4:4:3",20833.32,0.0786338108650012
"2021","NMC 811",100004.590884079,0.377459861664414
"2021","LFP",44141.4826,0.166608730344906
"2021","LMO",4.8665,1.83682409032515e-05
"2021","NCA",34752.316,0.131170022035122
"2021","NMC 111",135.234055476592,0.000510430845436703
"2021","NMC 532",25261.0702724981,0.0953460236801008
"2021","NMC 622",19321.5645279465,0.0729278027077037
"2022","NMC 721",31184.907,0.0680888147243157
"2022","NMCA 89:4:4:3",24923.84,0.0544184635207823
"2022","NMC 811",162042.0049576,0.353800896475808
"2022","LFP",122676.42981,0.267850492559545
"2022","LMO",0.8563,1.86963687428766e-06
"2022","NCA",42261.636,0.0922736342792515
"2022","NMC 111",117.753496096686,0.000257101808219844
"2022","NMC 532",42380.306002784,0.0925327371790259
"2022","NMC 622",32415.6422635188,0.0707759898161771
"2023","NMC 721",35030.764,0.0560419386382019
"2023","NMCA 89:4:4:3",34039.652,0.054456365514887
"2023","NMC 811",216487.599671591,0.346335146350988
"2023","LFP",191074.16079,0.305678928222608
"2023","LMO",0.6649,1.06370175085363e-06
"2023","NCA",49948.909,0.079907868787079
"2023","NMC 111",161.661443334175,0.000258624695924331
"2023","NMC 532",55719.4202639496,0.0891394869774592
"2023","NMC 622",42618.3990811251,0.068180577111102
"2024","NMC 721",34568.6,0.0483079023722148
"2024","NMCA 89:4:4:3",28823.298,0.0402791280476865
"2024","NMC 811",230315.796612649,0.321854891940741
"2024","LFP",272336.98911,0.380577422350596
"2024","LMO",1.6424,2.29517246449453e-06
"2024","NCA",41856.836,0.0584928503641399
"2024","NMC 111",154.97594888171,0.000216571194917324
"2024","NMC 532",60928.2698321278,0.0851442323599565
"2024","NMC 622",46602.5185963419,0.0651247061972833
