"Year","c","kwh_veh"
2024,"Algeria",76.9666666666667
2024,"Argentina",44.7060941828255
2024,"Australia",68.6759738338648
2024,"Austria",71.8900261533633
2024,"Belgium",73.2548605610748
2024,"Bolivia",59.282962962963
2024,"Brazil",48.4002018558217
2024,"Canada",80.0832013922788
2024,"Chile",66.5496158392435
2024,"China",57.1489002485433
2024,"Colombia",56.4497612243016
2024,"Czechia",70.2204309656824
2024,"Denmark",73.6670596711862
2024,"Eastern Europe/Central Asia",73.0066413050487
2024,"Egypt",69.0582375478927
2024,"Ethiopia",58.3735294117647
2024,"Finland",74.1119996496453
2024,"France",57.8118241624981
2024,"Germany",72.0540909761545
2024,"Greece",64.8040218270008
2024,"Hungary",66.7082368609774
2024,"India",33.7464546968929
2024,"Indonesia",51.361985933142
2024,"Ireland",70.7407131192161
2024,"Israel",68.819495314728
2024,"Italy",56.5289894671783
2024,"Japan",52.5765466816648
2024,"Kenya",41.7029748283753
2024,"Malaysia",66.1869198670891
2024,"Mexico",66.3715422222222
2024,"Morocco",47.8910769230769
2024,"Netherlands",70.2790739559975
2024,"New Zealand",71.8295861642989
2024,"Nigeria",58.1087719298245
2024,"Norway",72.929133721794
2024,"Pakistan",45.6427536231884
2024,"Peru",64.9736342042755
2024,"Philippines",61.9099099099099
2024,"Poland",69.8442119550464
2024,"Portugal",66.3848155792874
2024,"Rest of EU",68.4072204674668
2024,"Rest of Middle East/Africa",66.8747598146794
2024,"Rest of South America",62.65970280846
2024,"Rest of South Asia/Oceania",68.9418850202429
2024,"Romania",55.5785688005887
2024,"Russia",58.3134666955017
2024,"Saudi Arabia",90.8918686052773
2024,"Singapore",67.5081697525807
2024,"Slovakia",72.2436394271272
2024,"South Africa",77.3991678224688
2024,"South Korea",68.2738313128486
2024,"Spain",65.8674816903183
2024,"Sweden",74.1467913472337
2024,"Switzerland",71.2739332558526
2024,"Thailand",59.1096653187645
2024,"Turkey",69.232699754363
2024,"United Arab Emirates",82.3589372266225
2024,"United Kingdom",70.6342010422866
2024,"United States",87.0557473819442
2024,"Uruguay",53.4092373424482
2024,"Vietnam",52.3028665707267
2024,"Western Europe non EU",71.0232039131764
2024,"Venezuela",62.65970280846
2024,"Iran",66.8747598146794
